Amostra, Temperature, Cellulose_Fraction, Hemicellulose_Fraction, Lignin_Fraction, Solids_Loading, Time_min , Cellulose_Real, Hemicellulose_Real, Cellulose_Pred, Hemicellulose_Pred, Cellulose_AE, Hemicellulose_AE, Cellulose_RE, Hemicellulose_RE, Total_AE
    148,  209.459900,           0.434000,               0.237500,        0.328500,     106.673200,  0.000000,      46.301300,          25.333600,      46.296169,          25.334885,     0.005131,         0.001285,     0.011081,         0.005071, 0.006415
    149,  209.459900,           0.434000,               0.237500,        0.328500,     106.673200,  5.000000,      38.563800,           8.416400,      39.081024,           7.689316,     0.517224,         0.727084,     1.341217,         8.638898, 1.244308
    150,  209.459900,           0.434000,               0.237500,        0.328500,     106.673200, 10.000000,      32.119300,           2.796100,      30.053219,           2.276876,     2.066081,         0.519224,     6.432522,        18.569572, 2.585305
    151,  209.459900,           0.434000,               0.237500,        0.328500,     106.673200, 15.000000,      26.751700,           0.928900,      25.647617,           1.215006,     1.104083,         0.286106,     4.127150,        30.800490, 1.390188
    152,  209.459900,           0.434000,               0.237500,        0.328500,     106.673200, 20.000000,      22.281200,           0.308600,      21.546240,           0.575795,     0.734960,         0.267195,     3.298566,        86.582954, 1.002155
    153,  209.459900,           0.434000,               0.237500,        0.328500,     106.673200, 30.000000,      15.456400,           0.034000,      14.352242,           0.000000,     1.104158,         0.034000,     7.143691,       100.000000, 1.138158
    154,  209.459900,           0.434000,               0.237500,        0.328500,     106.673200, 40.000000,      10.722000,           0.003800,      10.986387,           0.194924,     0.264387,         0.191124,     2.465839,      1911.243397, 0.455512
    155,  183.822500,           0.431400,               0.193900,        0.374700,     134.161700,  0.000000,      57.877700,          26.010100,      57.877357,          26.013954,     0.000343,         0.003854,     0.000592,         0.014818, 0.004197
    156,  183.822500,           0.431400,               0.193900,        0.374700,     134.161700,  5.000000,      55.714300,          19.728600,      55.601147,          19.951935,     0.113153,         0.223335,     0.203096,         1.132036, 0.336488
    157,  183.822500,           0.431400,               0.193900,        0.374700,     134.161700, 10.000000,      53.631800,          14.964100,      53.790432,          14.844386,     0.158632,         0.119714,     0.295780,         0.800007, 0.278346
    158,  183.822500,           0.431400,               0.193900,        0.374700,     134.161700, 15.000000,      51.627100,          11.350200,      52.319180,          11.996061,     0.692080,         0.645861,     1.340535,         5.690308, 1.337941
    159,  183.822500,           0.431400,               0.193900,        0.374700,     134.161700, 20.000000,      49.697400,           8.609100,      49.957340,           8.525549,     0.259940,         0.083551,     0.523046,         0.970497, 0.343491
    160,  183.822500,           0.431400,               0.193900,        0.374700,     134.161700, 30.000000,      46.051600,           4.952900,      46.779522,           4.109990,     0.727922,         0.842910,     1.580666,        17.018512, 1.570832
    161,  183.822500,           0.431400,               0.193900,        0.374700,     134.161700, 40.000000,      42.673200,           2.849400,      42.904236,           2.750840,     0.231036,         0.098560,     0.541407,         3.458984, 0.329596
    162,  187.260400,           0.404200,               0.299100,        0.296800,     119.803900,  0.000000,      48.423100,          35.827800,      48.424736,          35.833347,     0.001636,         0.005547,     0.003379,         0.015483, 0.007183
    163,  187.260400,           0.404200,               0.299100,        0.296800,     119.803900,  5.000000,      46.129600,          25.256600,      46.620968,          26.442175,     0.491368,         1.185575,     1.065190,         4.694119, 1.676943
    164,  187.260400,           0.404200,               0.299100,        0.296800,     119.803900, 10.000000,      43.944600,          17.804400,      43.028164,          16.803438,     0.916436,         1.000962,     2.085435,         5.621991, 1.917398
    165,  187.260400,           0.404200,               0.299100,        0.296800,     119.803900, 15.000000,      41.863200,          12.551100,      40.911442,          13.192183,     0.951758,         0.641083,     2.273496,         5.107787, 1.592842
    166,  187.260400,           0.404200,               0.299100,        0.296800,     119.803900, 20.000000,      39.880400,           8.847700,      38.901554,           9.526013,     0.978846,         0.678313,     2.454454,         7.666550, 1.657159
    167,  187.260400,           0.404200,               0.299100,        0.296800,     119.803900, 30.000000,      36.192000,           4.396700,      36.737747,           4.866314,     0.545747,         0.469614,     1.507922,        10.681055, 1.015361
    168,  187.260400,           0.404200,               0.299100,        0.296800,     119.803900, 40.000000,      32.844700,           2.184800,      32.646019,           3.214279,     0.198681,         1.029479,     0.604910,        47.120043, 1.228160
    169,  191.101600,           0.480400,               0.240100,        0.279500,     119.325400,  0.000000,      57.320400,          28.655500,      57.323921,          28.650028,     0.003521,         0.005472,     0.006143,         0.019095, 0.008993
    170,  191.101600,           0.480400,               0.240100,        0.279500,     119.325400,  5.000000,      53.972900,          18.613700,      54.750534,          18.605436,     0.777634,         0.008264,     1.440786,         0.044396, 0.785898
    171,  191.101600,           0.480400,               0.240100,        0.279500,     119.325400, 10.000000,      50.820900,          12.090800,      51.249672,          11.925333,     0.428772,         0.165467,     0.843692,         1.368536, 0.594239
    172,  191.101600,           0.480400,               0.240100,        0.279500,     119.325400, 15.000000,      47.853000,           7.853700,      48.071171,           8.052123,     0.218171,         0.198423,     0.455919,         2.526492, 0.416594
    173,  191.101600,           0.480400,               0.240100,        0.279500,     119.325400, 20.000000,      45.058400,           5.101500,      45.058445,           4.318588,     0.000045,         0.782912,     0.000100,        15.346697, 0.782957
    174,  191.101600,           0.480400,               0.240100,        0.279500,     119.325400, 30.000000,      39.949200,           2.152400,      40.600986,           2.558017,     0.651786,         0.405617,     1.631538,        18.844849, 1.057403
    175,  191.101600,           0.480400,               0.240100,        0.279500,     119.325400, 40.000000,      35.419400,           0.908100,      34.814278,           1.449359,     0.605122,         0.541259,     1.708449,        59.603425, 1.146381
    176,  192.190700,           0.415700,               0.230800,        0.353500,      70.685600,  0.000000,      29.382900,          16.312700,      29.384005,          16.314236,     0.001105,         0.001536,     0.003759,         0.009414, 0.002640
    177,  192.190700,           0.415700,               0.230800,        0.353500,      70.685600,  5.000000,      27.575700,          10.353200,      27.715355,          10.710154,     0.139655,         0.356954,     0.506442,         3.447761, 0.496608
    178,  192.190700,           0.415700,               0.230800,        0.353500,      70.685600, 10.000000,      25.879600,           6.570900,      25.234158,           6.760473,     0.645442,         0.189573,     2.494020,         2.885042, 0.835016
    179,  192.190700,           0.415700,               0.230800,        0.353500,      70.685600, 15.000000,      24.287900,           4.170300,      24.572407,           3.815370,     0.284507,         0.354930,     1.171393,         8.510908, 0.639437
    180,  192.190700,           0.415700,               0.230800,        0.353500,      70.685600, 20.000000,      22.794100,           2.646800,      22.399408,           2.724709,     0.394692,         0.077909,     1.731552,         2.943500, 0.472600
    181,  192.190700,           0.415700,               0.230800,        0.353500,      70.685600, 30.000000,      20.076300,           1.066100,      19.272896,           1.644863,     0.803404,         0.578763,     4.001754,        54.287884, 1.382167
    182,  192.190700,           0.415700,               0.230800,        0.353500,      70.685600, 40.000000,      17.682700,           0.429400,      17.933508,           0.612025,     0.250808,         0.182625,     1.418380,        42.530294, 0.433433
    183,  187.697600,           0.421300,               0.208800,        0.369900,     145.949900,  0.000000,      61.490900,          30.475600,      61.488693,          30.474339,     0.002207,         0.001261,     0.003589,         0.004139, 0.003468
    184,  187.697600,           0.421300,               0.208800,        0.369900,     145.949900,  5.000000,      58.500800,          21.284500,      59.375484,          22.299374,     0.874684,         1.014874,     1.495167,         4.768135, 1.889558
    185,  187.697600,           0.421300,               0.208800,        0.369900,     145.949900, 10.000000,      55.656100,          14.865300,      56.655010,          14.485973,     0.998910,         0.379327,     1.794790,         2.551759, 1.378237
    186,  187.697600,           0.421300,               0.208800,        0.369900,     145.949900, 15.000000,      52.949700,          10.382000,      54.021412,          10.772320,     1.071712,         0.390320,     2.024019,         3.759582, 1.462032
    187,  187.697600,           0.421300,               0.208800,        0.369900,     145.949900, 20.000000,      50.374900,           7.250800,      51.477577,           7.355187,     1.102677,         0.104387,     2.188942,         1.439661, 1.207064
    188,  187.697600,           0.421300,               0.208800,        0.369900,     145.949900, 30.000000,      45.594800,           3.536700,      46.250561,           3.591000,     0.655761,         0.054300,     1.438236,         1.535339, 0.710061
    189,  187.697600,           0.421300,               0.208800,        0.369900,     145.949900, 40.000000,      41.268300,           1.725100,      41.621105,           2.312902,     0.352805,         0.587802,     0.854906,        34.073488, 0.940607
    190,  185.523000,           0.358800,               0.257700,        0.383500,     129.905000,  0.000000,      46.605700,          33.482100,      46.609913,          33.476517,     0.004213,         0.005583,     0.009039,         0.016675, 0.009796
    191,  185.523000,           0.358800,               0.257700,        0.383500,     129.905000,  5.000000,      44.632800,          24.492800,      44.485832,          24.407240,     0.146968,         0.085560,     0.329282,         0.349328, 0.232528
    192,  185.523000,           0.358800,               0.257700,        0.383500,     129.905000, 10.000000,      42.743500,          17.916900,      42.642612,          17.117998,     0.100888,         0.798902,     0.236030,         4.458929, 0.899789
    193,  185.523000,           0.358800,               0.257700,        0.383500,     129.905000, 15.000000,      40.934100,          13.106500,      41.528248,          13.649637,     0.594148,         0.543137,     1.451474,         4.144029, 1.137285
    194,  185.523000,           0.358800,               0.257700,        0.383500,     129.905000, 20.000000,      39.201300,           9.587600,      39.542301,          10.157408,     0.341001,         0.569808,     0.869872,         5.943174, 0.910809
    195,  185.523000,           0.358800,               0.257700,        0.383500,     129.905000, 30.000000,      35.952700,           5.130400,      38.295609,           4.672751,     2.342909,         0.457649,     6.516641,         8.920329, 2.800557
    196,  185.523000,           0.358800,               0.257700,        0.383500,     129.905000, 40.000000,      32.973300,           2.745300,      33.354195,           3.226722,     0.380895,         0.481422,     1.155161,        17.536226, 0.862317
    197,  181.356400,           0.466200,               0.153100,        0.380600,      54.704900,  0.000000,      25.505000,           8.377200,      25.503424,           8.375320,     0.001576,         0.001880,     0.006180,         0.022437, 0.003456
    198,  181.356400,           0.466200,               0.153100,        0.380600,      54.704900,  5.000000,      24.736000,           6.696800,      25.115883,           6.809011,     0.379883,         0.112211,     1.535749,         1.675591, 0.492094
    199,  181.356400,           0.466200,               0.153100,        0.380600,      54.704900, 10.000000,      23.990200,           5.353500,      24.283894,           5.163767,     0.293694,         0.189733,     1.224223,         3.544095, 0.483427
    200,  181.356400,           0.466200,               0.153100,        0.380600,      54.704900, 15.000000,      23.266900,           4.279600,      24.535784,           3.792790,     1.268884,         0.486810,     5.453600,        11.375136, 1.755694
    201,  181.356400,           0.466200,               0.153100,        0.380600,      54.704900, 20.000000,      22.565400,           3.421100,      24.073294,           3.335301,     1.507894,         0.085799,     6.682326,         2.507945, 1.593693
    202,  181.356400,           0.466200,               0.153100,        0.380600,      54.704900, 30.000000,      21.225200,           2.186200,      22.119299,           2.718774,     0.894099,         0.532574,     4.212441,        24.360699, 1.426673
    203,  181.356400,           0.466200,               0.153100,        0.380600,      54.704900, 40.000000,      19.964600,           1.397100,      20.027866,           1.952239,     0.063266,         0.555139,     0.316893,        39.735114, 0.618406
    204,  184.923500,           0.456000,               0.287300,        0.256700,      96.313900,  0.000000,      43.916800,          27.672800,      43.919140,          27.670984,     0.002340,         0.001816,     0.005328,         0.006561, 0.004156
    205,  184.923500,           0.456000,               0.287300,        0.256700,      96.313900,  5.000000,      42.134300,          20.503300,      41.572033,          20.052153,     0.562267,         0.451147,     1.334464,         2.200365, 1.013414
    206,  184.923500,           0.456000,               0.287300,        0.256700,      96.313900, 10.000000,      40.424100,          15.191300,      40.408024,          15.313897,     0.016076,         0.122597,     0.039769,         0.807022, 0.138673
    207,  184.923500,           0.456000,               0.287300,        0.256700,      96.313900, 15.000000,      38.783400,          11.255500,      38.852333,          12.458077,     0.068933,         1.202577,     0.177739,        10.684354, 1.271510
    208,  184.923500,           0.456000,               0.287300,        0.256700,      96.313900, 20.000000,      37.209300,           8.339300,      36.777412,           8.771284,     0.431888,         0.431984,     1.160698,         5.180100, 0.863872
    209,  184.923500,           0.456000,               0.287300,        0.256700,      96.313900, 30.000000,      34.250100,           4.577900,      35.286945,           4.871174,     1.036845,         0.293274,     3.027277,         6.406307, 1.330120
    210,  184.923500,           0.456000,               0.287300,        0.256700,      96.313900, 40.000000,      31.526200,           2.513000,      31.131819,           3.392152,     0.394381,         0.879152,     1.250963,        34.984175, 1.273534
    211,  189.858800,           0.426400,               0.269100,        0.304500,     148.041100,  0.000000,      63.124500,          39.839300,      63.124725,          39.837860,     0.000225,         0.001440,     0.000357,         0.003614, 0.001665
    212,  189.858800,           0.426400,               0.269100,        0.304500,     148.041100,  5.000000,      59.662500,          26.572500,      59.402626,          27.420506,     0.259874,         0.848006,     0.435573,         3.191290, 1.107879
    213,  189.858800,           0.426400,               0.269100,        0.304500,     148.041100, 10.000000,      56.390400,          17.723500,      55.173401,          18.733912,     1.216999,         1.010412,     2.158167,         5.700971, 2.227411
    214,  189.858800,           0.426400,               0.269100,        0.304500,     148.041100, 15.000000,      53.297800,          11.821400,      52.050297,          12.952931,     1.247503,         1.131531,     2.340628,         9.571890, 2.379035
    215,  189.858800,           0.426400,               0.269100,        0.304500,     148.041100, 20.000000,      50.374700,           7.884700,      49.560696,           9.145055,     0.814004,         1.260355,     1.615899,        15.984816, 2.074359
    216,  189.858800,           0.426400,               0.269100,        0.304500,     148.041100, 30.000000,      45.000800,           3.507600,      45.282436,           4.050154,     0.281636,         0.542554,     0.625847,        15.467961, 0.824191
    217,  189.858800,           0.426400,               0.269100,        0.304500,     148.041100, 40.000000,      40.200100,           1.560400,      39.890709,           2.543942,     0.309391,         0.983542,     0.769628,        63.031431, 1.292934
    218,  198.676900,           0.422000,               0.234900,        0.343000,      98.976900,  0.000000,      41.772300,          23.253100,      41.768253,          23.249674,     0.004047,         0.003426,     0.009687,         0.014734, 0.007473
    219,  198.676900,           0.422000,               0.234900,        0.343000,      98.976900,  5.000000,      37.790000,          11.972000,      37.971947,          11.859901,     0.181947,         0.112099,     0.481468,         0.936340, 0.294045
    220,  198.676900,           0.422000,               0.234900,        0.343000,      98.976900, 10.000000,      34.187400,           6.163800,      33.887691,           6.139361,     0.299709,         0.024439,     0.876664,         0.396494, 0.324148
    221,  198.676900,           0.422000,               0.234900,        0.343000,      98.976900, 15.000000,      30.928200,           3.173400,      31.502728,           3.001479,     0.574528,         0.171921,     1.857617,         5.417575, 0.746449
    222,  198.676900,           0.422000,               0.234900,        0.343000,      98.976900, 20.000000,      27.979700,           1.633800,      28.349165,           2.171035,     0.369465,         0.537235,     1.320475,        32.882532, 0.906700
    223,  198.676900,           0.422000,               0.234900,        0.343000,      98.976900, 30.000000,      22.899100,           0.433000,      22.920700,           0.741222,     0.021600,         0.308222,     0.094327,        71.182819, 0.329822
    224,  198.676900,           0.422000,               0.234900,        0.343000,      98.976900, 40.000000,      18.741100,           0.114800,      18.522518,           0.000000,     0.218582,         0.114800,     1.166323,       100.000000, 0.333382
    225,  206.387500,           0.385300,               0.242800,        0.371900,     135.506000,  0.000000,      52.215900,          32.898600,      52.210461,          32.900856,     0.005439,         0.002256,     0.010417,         0.006857, 0.007695
    226,  206.387500,           0.385300,               0.242800,        0.371900,     135.506000,  5.000000,      44.526500,          12.382700,      43.679806,          11.734665,     0.846694,         0.648035,     1.901551,         5.233391, 1.494729
    227,  206.387500,           0.385300,               0.242800,        0.371900,     135.506000, 10.000000,      37.969500,           4.660600,      38.151741,           4.141032,     0.182241,         0.519568,     0.479967,        11.148088, 0.701809
    228,  206.387500,           0.385300,               0.242800,        0.371900,     135.506000, 15.000000,      32.378000,           1.754100,      31.548349,           2.019250,     0.829651,         0.265150,     2.562390,        15.116009, 1.094801
    229,  206.387500,           0.385300,               0.242800,        0.371900,     135.506000, 20.000000,      27.609900,           0.660200,      27.287209,           1.173894,     0.322691,         0.513694,     1.168753,        77.808799, 0.836385
    230,  206.387500,           0.385300,               0.242800,        0.371900,     135.506000, 30.000000,      20.076800,           0.093500,      19.921083,           0.000000,     0.155717,         0.093500,     0.775604,       100.000000, 0.249217
    231,  206.387500,           0.385300,               0.242800,        0.371900,     135.506000, 40.000000,      14.599000,           0.013200,      15.124251,           0.000000,     0.525251,         0.013200,     3.597859,       100.000000, 0.538451
    232,  199.687100,           0.444600,               0.279100,        0.276400,      94.013400,  0.000000,      41.795000,          26.236600,      41.798359,          26.239140,     0.003359,         0.002540,     0.008037,         0.009679, 0.005898
    233,  199.687100,           0.444600,               0.279100,        0.276400,      94.013400,  5.000000,      37.518900,          12.964900,      37.684864,          12.596460,     0.165964,         0.368440,     0.442348,         2.841824, 0.534404
    234,  199.687100,           0.444600,               0.279100,        0.276400,      94.013400, 10.000000,      33.680200,           6.406600,      34.174309,           6.336154,     0.494109,         0.070446,     1.467060,         1.099585, 0.564555
    235,  199.687100,           0.444600,               0.279100,        0.276400,      94.013400, 15.000000,      30.234300,           3.165800,      30.878109,           2.719480,     0.643809,         0.446320,     2.129399,        14.098181, 1.090129
    236,  199.687100,           0.444600,               0.279100,        0.276400,      94.013400, 20.000000,      27.140900,           1.564300,      27.824839,           1.885974,     0.683939,         0.321674,     2.519956,        20.563458, 1.005613
    237,  199.687100,           0.444600,               0.279100,        0.276400,      94.013400, 30.000000,      21.871200,           0.381900,      21.904470,           0.573401,     0.033270,         0.191501,     0.152120,        50.144225, 0.224771
    238,  199.687100,           0.444600,               0.279100,        0.276400,      94.013400, 40.000000,      17.624700,           0.093300,      17.267879,           0.000000,     0.356821,         0.093300,     2.024548,       100.000000, 0.450121
    239,  206.405800,           0.474400,               0.169500,        0.356100,     139.879200,  0.000000,      66.361700,          23.708200,      66.358696,          23.709524,     0.003004,         0.001324,     0.004527,         0.005585, 0.004328
    240,  206.405800,           0.474400,               0.169500,        0.356100,     139.879200,  5.000000,      56.581200,           8.916900,      55.878666,           7.940249,     0.702534,         0.976651,     1.241639,        10.952804, 1.679185
    241,  206.405800,           0.474400,               0.169500,        0.356100,     139.879200, 10.000000,      48.242200,           3.353700,      48.732391,           4.015376,     0.490191,         0.661676,     1.016105,        19.729720, 1.151867
    242,  206.405800,           0.474400,               0.169500,        0.356100,     139.879200, 15.000000,      41.132200,           1.261300,      40.739651,           1.987933,     0.392549,         0.726633,     0.954360,        57.609878, 1.119183
    243,  206.405800,           0.474400,               0.169500,        0.356100,     139.879200, 20.000000,      35.070100,           0.474400,      34.706699,           0.729699,     0.363401,         0.255299,     1.036212,        53.815038, 0.618699
    244,  206.405800,           0.474400,               0.169500,        0.356100,     139.879200, 30.000000,      25.494400,           0.067100,      26.287378,           0.000000,     0.792978,         0.067100,     3.110402,       100.000000, 0.860078
    245,  206.405800,           0.474400,               0.169500,        0.356100,     139.879200, 40.000000,      18.533200,           0.009500,      20.166613,           0.000000,     1.633413,         0.009500,     8.813441,        95.000000, 1.642913
    246,  189.020400,           0.405300,               0.297700,        0.296900,      89.998500,  0.000000,      36.479300,          26.795600,      36.476391,          26.792553,     0.002909,         0.003047,     0.007975,         0.011371, 0.005956
    247,  189.020400,           0.405300,               0.297700,        0.296900,      89.998500,  5.000000,      34.566500,          18.194400,      35.182911,          18.833002,     0.616411,         0.638602,     1.783261,         3.509883, 1.255013
    248,  189.020400,           0.405300,               0.297700,        0.296900,      89.998500, 10.000000,      32.753900,          12.354100,      32.774235,          12.791502,     0.020335,         0.437402,     0.062084,         3.540541, 0.457737
    249,  189.020400,           0.405300,               0.297700,        0.296900,      89.998500, 15.000000,      31.036400,           8.388500,      30.112087,           8.699388,     0.924313,         0.310888,     2.978157,         3.706116, 1.235200
    250,  189.020400,           0.405300,               0.297700,        0.296900,      89.998500, 20.000000,      29.408900,           5.695800,      29.581709,           5.172799,     0.172809,         0.523001,     0.587608,         9.182228, 0.695810
    251,  189.020400,           0.405300,               0.297700,        0.296900,      89.998500, 30.000000,      26.405600,           2.626000,      26.224434,           3.258193,     0.181166,         0.632193,     0.686090,        24.074390, 0.813360
    252,  189.020400,           0.405300,               0.297700,        0.296900,      89.998500, 40.000000,      23.708900,           1.210700,      24.021948,           2.239330,     0.313048,         1.028630,     1.320381,        84.961577, 1.341678
    253,  185.393900,           0.396300,               0.217100,        0.386600,      93.461200,  0.000000,      37.040800,          20.288200,      37.038673,          20.290426,     0.002127,         0.002226,     0.005741,         0.010973, 0.004353
    254,  185.393900,           0.396300,               0.217100,        0.386600,      93.461200,  5.000000,      35.486700,          14.882100,      34.346035,          14.523563,     1.140665,         0.358537,     3.214345,         2.409180, 1.499202
    255,  185.393900,           0.396300,               0.217100,        0.386600,      93.461200, 10.000000,      33.997800,          10.916500,      33.248711,          11.923826,     0.749089,         1.007326,     2.203347,         9.227557, 1.756416
    256,  185.393900,           0.396300,               0.217100,        0.386600,      93.461200, 15.000000,      32.571400,           8.007600,      31.717031,           8.616005,     0.854369,         0.608405,     2.623064,         7.597844, 1.462773
    257,  185.393900,           0.396300,               0.217100,        0.386600,      93.461200, 20.000000,      31.204900,           5.873800,      30.553236,           5.277011,     0.651664,         0.596789,     2.088339,        10.160187, 1.248453
    258,  185.393900,           0.396300,               0.217100,        0.386600,      93.461200, 30.000000,      28.641400,           3.160500,      28.845285,           2.840625,     0.203885,         0.319875,     0.711856,        10.121016, 0.523760
    259,  185.393900,           0.396300,               0.217100,        0.386600,      93.461200, 40.000000,      26.288400,           1.700500,      26.937872,           1.810977,     0.649472,         0.110477,     2.470565,         6.496735, 0.759949
    260,  204.409800,           0.451700,               0.225900,        0.322400,     136.894100,  0.000000,      61.837700,          30.920500,      61.835064,          30.924377,     0.002636,         0.003877,     0.004263,         0.012540, 0.006514
    261,  204.409800,           0.451700,               0.225900,        0.322400,     136.894100,  5.000000,      53.537000,          12.611900,      51.867939,          12.153258,     1.669061,         0.458642,     3.117584,         3.636579, 2.127703
    262,  204.409800,           0.451700,               0.225900,        0.322400,     136.894100, 10.000000,      46.350500,           5.144000,      45.822235,           5.219263,     0.528265,         0.075263,     1.139718,         1.463124, 0.603528
    263,  204.409800,           0.451700,               0.225900,        0.322400,     136.894100, 15.000000,      40.128700,           2.098100,      39.698399,           2.415497,     0.430301,         0.317397,     1.072303,        15.127810, 0.747698
    264,  204.409800,           0.451700,               0.225900,        0.322400,     136.894100, 20.000000,      34.742000,           0.855700,      34.012749,           1.298532,     0.729251,         0.442832,     2.099048,        51.750848, 1.172083
    265,  204.409800,           0.451700,               0.225900,        0.322400,     136.894100, 30.000000,      26.040800,           0.142300,      26.007986,           0.000000,     0.032814,         0.142300,     0.126010,       100.000000, 0.175114
    266,  204.409800,           0.451700,               0.225900,        0.322400,     136.894100, 40.000000,      19.518800,           0.023700,      20.787909,           0.000000,     1.269109,         0.023700,     6.501980,       100.000000, 1.292809
    267,  204.207600,           0.446500,               0.228100,        0.325400,      65.585900,  0.000000,      29.281400,          14.962600,      29.284105,          14.960144,     0.002705,         0.002456,     0.009239,         0.016414, 0.005161
    268,  204.207600,           0.446500,               0.228100,        0.325400,      65.585900,  5.000000,      25.390200,           6.153300,      24.715752,           7.061796,     0.674448,         0.908496,     2.656333,        14.764366, 1.582944
    269,  204.207600,           0.446500,               0.228100,        0.325400,      65.585900, 10.000000,      22.016100,           2.530500,      22.799608,           2.220974,     0.783508,         0.309526,     3.558797,        12.231813, 1.093034
    270,  204.207600,           0.446500,               0.228100,        0.325400,      65.585900, 15.000000,      19.090300,           1.040600,      19.487890,           1.235932,     0.397590,         0.195332,     2.082682,        18.771116, 0.592922
    271,  204.207600,           0.446500,               0.228100,        0.325400,      65.585900, 20.000000,      16.553400,           0.427900,      16.869864,           0.488473,     0.316464,         0.060573,     1.911773,        14.155773, 0.377036
    272,  204.207600,           0.446500,               0.228100,        0.325400,      65.585900, 30.000000,      12.446100,           0.072400,      11.780104,           0.000000,     0.665996,         0.072400,     5.351044,       100.000000, 0.738396
    273,  204.207600,           0.446500,               0.228100,        0.325400,      65.585900, 40.000000,       9.357900,           0.012200,      10.426857,           0.137439,     1.068957,         0.125239,    11.423044,      1026.546718, 1.194196
    274,  200.813000,           0.360700,               0.270600,        0.368600,      72.804400,  0.000000,      26.263900,          19.703700,      26.260548,          19.700871,     0.003352,         0.002829,     0.012764,         0.014360, 0.006182
    275,  200.813000,           0.360700,               0.270600,        0.368600,      72.804400,  5.000000,      23.374200,           9.301300,      22.736742,           9.529978,     0.637458,         0.228678,     2.727186,         2.458557, 0.866136
    276,  200.813000,           0.360700,               0.270600,        0.368600,      72.804400, 10.000000,      20.802300,           4.390700,      20.398476,           3.946999,     0.403824,         0.443701,     1.941249,        10.105477, 0.847526
    277,  200.813000,           0.360700,               0.270600,        0.368600,      72.804400, 15.000000,      18.513500,           2.072600,      18.705322,           2.361242,     0.191822,         0.288642,     1.036121,        13.926545, 0.480464
    278,  200.813000,           0.360700,               0.270600,        0.368600,      72.804400, 20.000000,      16.476500,           0.978400,      16.706884,           1.507995,     0.230384,         0.529595,     1.398260,        54.128717, 0.759980
    279,  200.813000,           0.360700,               0.270600,        0.368600,      72.804400, 30.000000,      13.050200,           0.218000,      12.966772,           0.000000,     0.083428,         0.218000,     0.639285,       100.000000, 0.301428
    280,  200.813000,           0.360700,               0.270600,        0.368600,      72.804400, 40.000000,      10.336400,           0.048600,      10.360700,           0.000000,     0.024300,         0.048600,     0.235088,       100.000000, 0.072900
    281,  190.461600,           0.449300,               0.238600,        0.312100,      81.549600,  0.000000,      36.636800,          19.458500,      36.640236,          19.457735,     0.003436,         0.000765,     0.009378,         0.003931, 0.004201
    282,  190.461600,           0.449300,               0.238600,        0.312100,      81.549600,  5.000000,      34.564300,          12.813100,      34.805134,          12.519052,     0.240834,         0.294048,     0.696770,         2.294905, 0.534882
    283,  190.461600,           0.449300,               0.238600,        0.312100,      81.549600, 10.000000,      32.609000,           8.437200,      33.037945,           8.837576,     0.428945,         0.400376,     1.315418,         4.745365, 0.829321
    284,  190.461600,           0.449300,               0.238600,        0.312100,      81.549600, 15.000000,      30.764300,           5.555700,      30.442465,           5.385052,     0.321835,         0.170648,     1.046132,         3.071589, 0.492483
    285,  190.461600,           0.449300,               0.238600,        0.312100,      81.549600, 20.000000,      29.024000,           3.658300,      29.816893,           3.312379,     0.792893,         0.345921,     2.731852,         9.455789, 1.138814
    286,  190.461600,           0.449300,               0.238600,        0.312100,      81.549600, 30.000000,      25.833000,           1.586200,      25.776831,           2.014322,     0.056169,         0.428122,     0.217432,        26.990420, 0.484291
    287,  190.461600,           0.449300,               0.238600,        0.312100,      81.549600, 40.000000,      22.992900,           0.687700,      23.491940,           1.071310,     0.499040,         0.383610,     2.170407,        55.781597, 0.882650
    288,  196.520600,           0.457800,               0.205400,        0.336900,     100.880300,  0.000000,      46.179500,          20.717600,      46.183002,          20.720814,     0.003502,         0.003214,     0.007584,         0.015512, 0.006716
    289,  196.520600,           0.457800,               0.205400,        0.336900,     100.880300,  5.000000,      42.473500,          11.643200,      42.497448,          11.561769,     0.023948,         0.081431,     0.056383,         0.699383, 0.105378
    290,  196.520600,           0.457800,               0.205400,        0.336900,     100.880300, 10.000000,      39.064800,           6.543400,      38.349285,           7.024498,     0.715515,         0.481098,     1.831610,         7.352416, 1.196613
    291,  196.520600,           0.457800,               0.205400,        0.336900,     100.880300, 15.000000,      35.929700,           3.677300,      35.565899,           3.376334,     0.363801,         0.300966,     1.012536,         8.184424, 0.664767
    292,  196.520600,           0.457800,               0.205400,        0.336900,     100.880300, 20.000000,      33.046200,           2.066600,      33.116722,           2.405472,     0.070522,         0.338872,     0.213405,        16.397563, 0.409394
    293,  196.520600,           0.457800,               0.205400,        0.336900,     100.880300, 30.000000,      27.954800,           0.652700,      27.732454,           1.019736,     0.222346,         0.367036,     0.795376,        56.233518, 0.589382
    294,  196.520600,           0.457800,               0.205400,        0.336900,     100.880300, 40.000000,      23.647800,           0.206100,      23.030569,           0.204314,     0.617231,         0.001786,     2.610099,         0.866421, 0.619017
    295,  195.808400,           0.488300,               0.183600,        0.328100,      84.010200,  0.000000,      41.021900,          15.426800,      41.022182,          15.424273,     0.000282,         0.002527,     0.000689,         0.016384, 0.002810
