Cellulose, Hemicellulose, Lignin, Solids Loading [g/L], Enzyme Loading [g/L], Time [h], Glucose Concentration [g/L], Xylose Concentration [g/L], Cellobiose Concentration [g/L]
    0.595,         0.136,  0.269,              181.247,                0.556,       12,                      23.000,                     20.457,                          2.705
    0.595,         0.136,  0.269,              181.247,                0.556,       24,                      32.355,                     22.716,                          3.298
    0.595,         0.136,  0.269,              181.247,                0.556,       48,                      45.674,                     24.342,                          3.453
    0.595,         0.136,  0.269,              181.247,                0.556,       72,                      55.227,                     25.062,                          3.170
    0.595,         0.136,  0.269,              181.247,                0.556,       96,                      62.542,                     25.492,                          2.783
    0.606,         0.142,  0.252,               82.823,                0.583,        0,                       0.000,                      0.000,                          0.000
    0.606,         0.142,  0.252,               82.823,                0.583,        1,                       5.975,                      4.089,                          0.399
    0.606,         0.142,  0.252,               82.823,                0.583,        2,                       7.700,                      5.801,                          0.537
    0.606,         0.142,  0.252,               82.823,                0.583,        4,                      10.096,                      7.585,                          0.675
    0.606,         0.142,  0.252,               82.823,                0.583,        6,                      11.960,                      8.556,                          0.737
    0.606,         0.142,  0.252,               82.823,                0.583,        8,                      13.551,                      9.185,                          0.761
    0.606,         0.142,  0.252,               82.823,                0.583,       12,                      16.241,                      9.970,                          0.754
    0.606,         0.142,  0.252,               82.823,                0.583,       24,                      22.154,                     11.032,                          0.611
    0.606,         0.142,  0.252,               82.823,                0.583,       48,                      29.424,                     11.789,                          0.365
    0.606,         0.142,  0.252,               82.823,                0.583,       72,                      33.904,                     12.122,                          0.235
    0.606,         0.142,  0.252,               82.823,                0.583,       96,                      36.997,                     12.319,                          0.165
    0.643,         0.089,  0.268,              168.349,                1.139,        0,                       0.000,                      0.000,                          0.000
    0.643,         0.089,  0.268,              168.349,                1.139,        1,                      24.376,                      3.521,                          0.824
    0.643,         0.089,  0.268,              168.349,                1.139,        2,                      31.351,                      5.028,                          1.028
    0.643,         0.089,  0.268,              168.349,                1.139,        4,                      39.954,                      6.849,                          1.181
    0.643,         0.089,  0.268,              168.349,                1.139,        6,                      45.836,                      8.008,                          1.214
    0.643,         0.089,  0.268,              168.349,                1.139,        8,                      50.402,                      8.845,                          1.199
    0.643,         0.089,  0.268,              168.349,                1.139,       12,                      57.362,                     10.013,                          1.113
    0.643,         0.089,  0.268,              168.349,                1.139,       24,                      70.328,                     11.877,                          0.806
    0.643,         0.089,  0.268,              168.349,                1.139,       48,                      83.540,                     13.452,                          0.433
    0.643,         0.089,  0.268,              168.349,                1.139,       72,                      90.729,                     14.210,                          0.265
    0.643,         0.089,  0.268,              168.349,                1.139,       96,                      95.385,                     14.673,                          0.179
    0.616,         0.087,  0.297,              224.563,                0.729,        0,                       0.000,                      0.000,                          0.000
    0.616,         0.087,  0.297,              224.563,                0.729,        1,                      23.478,                      3.593,                          0.953
    0.616,         0.087,  0.297,              224.563,                0.729,        2,                      30.392,                      5.249,                          1.309
    0.616,         0.087,  0.297,              224.563,                0.729,        4,                      39.045,                      7.354,                          1.730
    0.616,         0.087,  0.297,              224.563,                0.729,        6,                      45.075,                      8.757,                          1.990
    0.616,         0.087,  0.297,              224.563,                0.729,        8,                      49.841,                      9.805,                          2.168
    0.616,         0.087,  0.297,              224.563,                0.729,       12,                      57.298,                     11.318,                          2.385
    0.616,         0.087,  0.297,              224.563,                0.729,       24,                      72.076,                     13.857,                          2.561
    0.616,         0.087,  0.297,              224.563,                0.729,       48,                      88.990,                     16.137,                          2.298
    0.616,         0.087,  0.297,              224.563,                0.729,       72,                      99.336,                     17.288,                          1.904
    0.616,         0.087,  0.297,              224.563,                0.729,       96,                     106.574,                     18.012,                          1.546
    0.588,         0.118,  0.295,              192.715,                1.066,        0,                       0.000,                      0.000,                          0.000
    0.588,         0.118,  0.295,              192.715,                1.066,        1,                      13.478,                      8.692,                          1.114
    0.588,         0.118,  0.295,              192.715,                1.066,        2,                      17.468,                     11.835,                          1.533
    0.588,         0.118,  0.295,              192.715,                1.066,        4,                      23.095,                     15.008,                          2.021
    0.588,         0.118,  0.295,              192.715,                1.066,        6,                      27.481,                     16.719,                          2.303
    0.588,         0.118,  0.295,              192.715,                1.066,        8,                      31.219,                     17.829,                          2.475
    0.588,         0.118,  0.295,              192.715,                1.066,       12,                      37.516,                     19.226,                          2.636
    0.588,         0.118,  0.295,              192.715,                1.066,       24,                      51.305,                     21.158,                          2.521
    0.588,         0.118,  0.295,              192.715,                1.066,       48,                      68.242,                     22.588,                          1.802
    0.588,         0.118,  0.295,              192.715,                1.066,       72,                      78.616,                     23.239,                          1.234
    0.588,         0.118,  0.295,              192.715,                1.066,       96,                      85.690,                     23.633,                          0.864
    0.644,         0.125,  0.231,              196.155,                0.801,        0,                       0.000,                      0.000,                          0.000
    0.644,         0.125,  0.231,              196.155,                0.801,        1,                      13.988,                      8.141,                          1.129
    0.644,         0.125,  0.231,              196.155,                0.801,        2,                      18.033,                     11.352,                          1.586
    0.644,         0.125,  0.231,              196.155,                0.801,        4,                      23.622,                     14.777,                          2.160
    0.644,         0.125,  0.231,              196.155,                0.801,        6,                      27.925,                     16.707,                          2.533
    0.644,         0.125,  0.231,              196.155,                0.801,        8,                      31.576,                     17.991,                          2.799
    0.644,         0.125,  0.231,              196.155,                0.801,       12,                      37.729,                     19.644,                          3.139
    0.644,         0.125,  0.231,              196.155,                0.801,       24,                      51.401,                     21.989,                          3.447
    0.644,         0.125,  0.231,              196.155,                0.801,       48,                      68.996,                     23.760,                          3.073
    0.644,         0.125,  0.231,              196.155,                0.801,       72,                      80.453,                     24.572,                          2.483
    0.644,         0.125,  0.231,              196.155,                0.801,       96,                      88.639,                     25.064,                          1.960
    0.578,         0.129,  0.293,              164.643,                0.808,        0,                       0.000,                      0.000,                          0.000
    0.578,         0.129,  0.293,              164.643,                0.808,        1,                       9.498,                      8.259,                          0.879
    0.578,         0.129,  0.293,              164.643,                0.808,        2,                      12.251,                     11.329,                          1.230
    0.578,         0.129,  0.293,              164.643,                0.808,        4,                      16.185,                     14.391,                          1.662
    0.578,         0.129,  0.293,              164.643,                0.808,        6,                      19.309,                     16.014,                          1.933
    0.578,         0.129,  0.293,              164.643,                0.808,        8,                      22.017,                     17.053,                          2.115
    0.578,         0.129,  0.293,              164.643,                0.808,       12,                      26.675,                     18.340,                          2.324
    0.578,         0.129,  0.293,              164.643,                0.808,       24,                      37.311,                     20.077,                          2.391
    0.578,         0.129,  0.293,              164.643,                0.808,       48,                      51.232,                     21.324,                          1.892
    0.578,         0.129,  0.293,              164.643,                0.808,       72,                      60.249,                     21.881,                          1.388
    0.578,         0.129,  0.293,              164.643,                0.808,       96,                      66.614,                     22.215,                          1.019
    0.596,         0.132,  0.272,              181.521,                0.496,        0,                       0.000,                      0.000,                          0.000
    0.596,         0.132,  0.272,              181.521,                0.496,        1,                       8.642,                      7.380,                          0.797
    0.596,         0.132,  0.272,              181.521,                0.496,        2,                      11.014,                     10.601,                          1.146
    0.596,         0.132,  0.272,              181.521,                0.496,        4,                      14.294,                     14.122,                          1.614
    0.596,         0.132,  0.272,              181.521,                0.496,        6,                      16.852,                     16.125,                          1.948
    0.596,         0.132,  0.272,              181.521,                0.496,        8,                      19.058,                     17.458,                          2.209
    0.596,         0.132,  0.272,              181.521,                0.496,       12,                      22.869,                     19.164,                          2.597
    0.596,         0.132,  0.272,              181.521,                0.496,       24,                      31.835,                     21.549,                          3.214
    0.596,         0.132,  0.272,              181.521,                0.496,       48,                      44.613,                     23.297,                          3.466
    0.596,         0.132,  0.272,              181.521,                0.496,       72,                      53.856,                     24.078,                          3.271
    0.596,         0.132,  0.272,              181.521,                0.496,       96,                      61.003,                     24.545,                          2.947
    0.554,         0.149,  0.298,              123.874,                0.760,        0,                       0.000,                      0.000,                          0.000
    0.554,         0.149,  0.298,              123.874,                0.760,        1,                       5.881,                      8.397,                          0.626
    0.554,         0.149,  0.298,              123.874,                0.760,        2,                       7.611,                     11.288,                          0.871
    0.554,         0.149,  0.298,              123.874,                0.760,        4,                      10.188,                     13.957,                          1.163
    0.554,         0.149,  0.298,              123.874,                0.760,        6,                      12.312,                     15.279,                          1.336
    0.554,         0.149,  0.298,              123.874,                0.760,        8,                      14.198,                     16.090,                          1.443
    0.554,         0.149,  0.298,              123.874,                0.760,       12,                      17.516,                     17.057,                          1.542
    0.554,         0.149,  0.298,              123.874,                0.760,       24,                      25.314,                     18.295,                          1.462
    0.554,         0.149,  0.298,              123.874,                0.760,       48,                      35.682,                     19.138,                          1.016
    0.554,         0.149,  0.298,              123.874,                0.760,       72,                      42.379,                     19.504,                          0.688
    0.554,         0.149,  0.298,              123.874,                0.760,       96,                      47.088,                     19.721,                          0.485
    0.635,         0.107,  0.258,               80.513,                0.964,        0,                       0.000,                      0.000,                          0.000
    0.635,         0.107,  0.258,               80.513,                0.964,        1,                      10.653,                      2.386,                          0.296
    0.635,         0.107,  0.258,               80.513,                0.964,        2,                      13.751,                      3.429,                          0.326
    0.635,         0.107,  0.258,               80.513,                0.964,        4,                      17.660,                      4.625,                          0.315
    0.635,         0.107,  0.258,               80.513,                0.964,        6,                      20.392,                      5.343,                          0.287
    0.635,         0.107,  0.258,               80.513,                0.964,        8,                      22.541,                      5.839,                          0.259
    0.635,         0.107,  0.258,               80.513,                0.964,       12,                      25.856,                      6.501,                          0.212
    0.635,         0.107,  0.258,               80.513,                0.964,       24,                      32.127,                      7.484,                          0.129
    0.635,         0.107,  0.258,               80.513,                0.964,       48,                      38.628,                      8.251,                          0.066
    0.635,         0.107,  0.258,               80.513,                0.964,       72,                      42.206,                      8.601,                          0.041
    0.635,         0.107,  0.258,               80.513,                0.964,       96,                      44.535,                      8.810,                          0.028
    0.648,         0.058,  0.294,               92.923,                1.051,        0,                       0.000,                      0.000,                          0.000
    0.648,         0.058,  0.294,               92.923,                1.051,        1,                      21.526,                      0.719,                          0.220
    0.648,         0.058,  0.294,               92.923,                1.051,        2,                      27.423,                      1.074,                          0.197
    0.648,         0.058,  0.294,               92.923,                1.051,        4,                      33.761,                      1.567,                          0.148
    0.648,         0.058,  0.294,               92.923,                1.051,        6,                      37.529,                      1.926,                          0.116
    0.648,         0.058,  0.294,               92.923,                1.051,        8,                      40.177,                      2.213,                          0.095
    0.648,         0.058,  0.294,               92.923,                1.051,       12,                      43.814,                      2.655,                          0.070
    0.648,         0.058,  0.294,               92.923,                1.051,       24,                      49.612,                      3.471,                          0.039
    0.648,         0.058,  0.294,               92.923,                1.051,       48,                      54.652,                      4.269,                          0.019
    0.648,         0.058,  0.294,               92.923,                1.051,       72,                      57.170,                      4.682,                          0.012
    0.648,         0.058,  0.294,               92.923,                1.051,       96,                      58.746,                      4.941,                          0.009
    0.625,         0.145,  0.230,               62.985,                0.691,        0,                       0.000,                      0.000,                          0.000
    0.625,         0.145,  0.230,               62.985,                0.691,        1,                       5.456,                      3.197,                          0.273
    0.625,         0.145,  0.230,               62.985,                0.691,        2,                       7.070,                      4.542,                          0.338
    0.625,         0.145,  0.230,               62.985,                0.691,        4,                       9.286,                      5.942,                          0.376
    0.625,         0.145,  0.230,               62.985,                0.691,        6,                      10.976,                      6.705,                          0.374
    0.625,         0.145,  0.230,               62.985,                0.691,        8,                      12.392,                      7.198,                          0.358
    0.625,         0.145,  0.230,               62.985,                0.691,       12,                      14.721,                      7.815,                          0.315
    0.625,         0.145,  0.230,               62.985,                0.691,       24,                      19.593,                      8.651,                          0.211
    0.625,         0.145,  0.230,               62.985,                0.691,       48,                      25.231,                      9.247,                          0.113
    0.625,         0.145,  0.230,               62.985,                0.691,       72,                      28.572,                      9.507,                          0.071
    0.625,         0.145,  0.230,               62.985,                0.691,       96,                      30.831,                      9.660,                          0.050
    0.632,         0.144,  0.224,              162.316,                0.619,        0,                       0.000,                      0.000,                          0.000
    0.632,         0.144,  0.224,              162.316,                0.619,        1,                       8.817,                      8.622,                          0.872
    0.632,         0.144,  0.224,              162.316,                0.619,        2,                      11.308,                     11.993,                          1.240
    0.632,         0.144,  0.224,              162.316,                0.619,        4,                      14.851,                     15.430,                          1.721
    0.632,         0.144,  0.224,              162.316,                0.619,        6,                      17.669,                     17.279,                          2.051
    0.632,         0.144,  0.224,              162.316,                0.619,        8,                      20.122,                     18.471,                          2.296
    0.632,         0.144,  0.224,              162.316,                0.619,       12,                      24.379,                     19.956,                          2.633
    0.632,         0.144,  0.224,              162.316,                0.619,       24,                      34.357,                     21.963,                          3.034
    0.632,         0.144,  0.224,              162.316,                0.619,       48,                      48.168,                     23.399,                          2.879
    0.632,         0.144,  0.224,              162.316,                0.619,       72,                      57.710,                     24.036,                          2.430
    0.632,         0.144,  0.224,              162.316,                0.619,       96,                      64.786,                     24.417,                          1.985
    0.619,         0.146,  0.235,               99.937,                0.147,        0,                       0.000,                      0.000,                          0.000
    0.619,         0.146,  0.235,               99.937,                0.147,        1,                       4.219,                      2.388,                          0.271
    0.619,         0.146,  0.235,               99.937,                0.147,        2,                       5.373,                      3.810,                          0.405
    0.619,         0.146,  0.235,               99.937,                0.147,        4,                       6.835,                      5.698,                          0.589
    0.619,         0.146,  0.235,               99.937,                0.147,        6,                       7.900,                      6.960,                          0.723
    0.619,         0.146,  0.235,               99.937,                0.147,        8,                       8.786,                      7.886,                          0.831
    0.619,         0.146,  0.235,               99.937,                0.147,       12,                      10.271,                      9.183,                          1.000
    0.619,         0.146,  0.235,               99.937,                0.147,       24,                      13.702,                     11.211,                          1.314
    0.619,         0.146,  0.235,               99.937,                0.147,       48,                      18.753,                     12.835,                          1.577
    0.619,         0.146,  0.235,               99.937,                0.147,       72,                      22.680,                     13.580,                          1.638
    0.619,         0.146,  0.235,               99.937,                0.147,       96,                      25.936,                     14.025,                          1.610
    0.638,         0.112,  0.250,               95.983,                0.264,        0,                       0.000,                      0.000,                          0.000
    0.638,         0.112,  0.250,               95.983,                0.264,        1,                       7.870,                      1.760,                          0.337
    0.638,         0.112,  0.250,               95.983,                0.264,        2,                      10.198,                      2.708,                          0.478
    0.638,         0.112,  0.250,               95.983,                0.264,        4,                      13.118,                      3.952,                          0.649
    0.638,         0.112,  0.250,               95.983,                0.264,        6,                      15.189,                      4.789,                          0.756
    0.638,         0.112,  0.250,               95.983,                0.264,        8,                      16.861,                      5.413,                          0.831
    0.638,         0.112,  0.250,               95.983,                0.264,       12,                      19.553,                      6.307,                          0.924
    0.638,         0.112,  0.250,               95.983,                0.264,       24,                      25.230,                      7.771,                          1.006
    0.638,         0.112,  0.250,               95.983,                0.264,       48,                      32.374,                      9.032,                          0.906
    0.638,         0.112,  0.250,               95.983,                0.264,       72,                      37.114,                      9.646,                          0.750
    0.638,         0.112,  0.250,               95.983,                0.264,       96,                      40.603,                     10.026,                          0.610
    0.565,         0.143,  0.292,              181.425,                0.076,        0,                       0.000,                      0.000,                          0.000
    0.565,         0.143,  0.292,              181.425,                0.076,        1,                       3.622,                      2.642,                          0.258
    0.565,         0.143,  0.292,              181.425,                0.076,        2,                       4.564,                      4.421,                          0.394
    0.565,         0.143,  0.292,              181.425,                0.076,        4,                       5.714,                      7.035,                          0.587
    0.565,         0.143,  0.292,              181.425,                0.076,        6,                       6.524,                      8.959,                          0.734
    0.565,         0.143,  0.292,              181.425,                0.076,        8,                       7.184,                     10.472,                          0.856
    0.565,         0.143,  0.292,              181.425,                0.076,       12,                       8.270,                     12.745,                          1.061
    0.565,         0.143,  0.292,              181.425,                0.076,       24,                      10.738,                     16.697,                          1.516
    0.565,         0.143,  0.292,              181.425,                0.076,       48,                      14.439,                     20.236,                          2.133
    0.565,         0.143,  0.292,              181.425,                0.076,       72,                      17.484,                     21.965,                          2.569
    0.565,         0.143,  0.292,              181.425,                0.076,       96,                      20.176,                     23.021,                          2.902
    0.603,         0.135,  0.262,              125.630,                1.079,        0,                       0.000,                      0.000,                          0.000
    0.603,         0.135,  0.262,              125.630,                1.079,        1,                       9.255,                      7.350,                          0.717
    0.603,         0.135,  0.262,              125.630,                1.079,        2,                      12.071,                      9.860,                          0.938
    0.603,         0.135,  0.262,              125.630,                1.079,        4,                      16.148,                     12.253,                          1.136
    0.603,         0.135,  0.262,              125.630,                1.079,        6,                      19.382,                     13.480,                          1.202
    0.603,         0.135,  0.262,              125.630,                1.079,        8,                      22.154,                     14.253,                          1.207
    0.603,         0.135,  0.262,              125.630,                1.079,       12,                      26.814,                     15.200,                          1.138
    0.603,         0.135,  0.262,              125.630,                1.079,       24,                      36.785,                     16.464,                          0.825
    0.603,         0.135,  0.262,              125.630,                1.079,       48,                      48.358,                     17.371,                          0.437
    0.603,         0.135,  0.262,              125.630,                1.079,       72,                      55.106,                     17.777,                          0.267
    0.603,         0.135,  0.262,              125.630,                1.079,       96,                      59.605,                     18.020,                          0.181
    0.647,         0.064,  0.289,              247.855,                0.655,        0,                       0.000,                      0.000,                          0.000
    0.647,         0.064,  0.289,              247.855,                0.655,        1,                      36.979,                      1.577,                          0.822
    0.647,         0.064,  0.289,              247.855,                0.655,        2,                      48.304,                      2.331,                          1.089
    0.647,         0.064,  0.289,              247.855,                0.655,        4,                      61.635,                      3.392,                          1.386
    0.647,         0.064,  0.289,              247.855,                0.655,        6,                      70.269,                      4.184,                          1.557
    0.647,         0.064,  0.289,              247.855,                0.655,        8,                      76.710,                      4.828,                          1.668
    0.647,         0.064,  0.289,              247.855,                0.655,       12,                      86.147,                      5.855,                          1.795
    0.647,         0.064,  0.289,              247.855,                0.655,       24,                     102.886,                      7.894,                          1.868
    0.647,         0.064,  0.289,              247.855,                0.655,       48,                     119.687,                     10.146,                          1.662
    0.647,         0.064,  0.289,              247.855,                0.655,       72,                     129.157,                     11.459,                          1.394
    0.647,         0.064,  0.289,              247.855,                0.655,       96,                     135.558,                     12.349,                          1.155
    0.628,         0.110,  0.262,              203.793,                0.053,        0,                       0.000,                      0.000,                          0.000
    0.628,         0.110,  0.262,              203.793,                0.053,        1,                       6.029,                      1.097,                          0.241
    0.628,         0.110,  0.262,              203.793,                0.053,        2,                       7.994,                      1.811,                          0.370
    0.628,         0.110,  0.262,              203.793,                0.053,        4,                      10.421,                      2.909,                          0.554
    0.628,         0.110,  0.262,              203.793,                0.053,        6,                      12.106,                      3.781,                          0.696
    0.628,         0.110,  0.262,              203.793,                0.053,        8,                      13.445,                      4.517,                          0.815
    0.628,         0.110,  0.262,              203.793,                0.053,       12,                      15.571,                      5.729,                          1.012
    0.628,         0.110,  0.262,              203.793,                0.053,       24,                      20.027,                      8.251,                          1.438
    0.628,         0.110,  0.262,              203.793,                0.053,       48,                      25.914,                     11.193,                          1.992
    0.628,         0.110,  0.262,              203.793,                0.053,       72,                      30.270,                     12.987,                          2.371
    0.628,         0.110,  0.262,              203.793,                0.053,       96,                      33.874,                     14.242,                          2.658
    0.608,         0.128,  0.264,              221.245,                1.167,        0,                       0.000,                      0.000,                          0.000
    0.608,         0.128,  0.264,              221.245,                1.167,        1,                      13.867,                     12.051,                          1.388
    0.608,         0.128,  0.264,              221.245,                1.167,        2,                      18.052,                     16.070,                          1.934
    0.608,         0.128,  0.264,              221.245,                1.167,        4,                      24.120,                     19.942,                          2.605
    0.608,         0.128,  0.264,              221.245,                1.167,        6,                      28.959,                     21.957,                          3.025
    0.608,         0.128,  0.264,              221.245,                1.167,        8,                      33.145,                     23.238,                          3.306
    0.608,         0.128,  0.264,              221.245,                1.167,       12,                      40.302,                     24.824,                          3.627
    0.608,         0.128,  0.264,              221.245,                1.167,       24,                      56.372,                     26.972,                          3.726
    0.608,         0.128,  0.264,              221.245,                1.167,       48,                      76.783,                     28.537,                          2.944
    0.608,         0.128,  0.264,              221.245,                1.167,       72,                      89.638,                     29.247,                          2.152
    0.608,         0.128,  0.264,              221.245,                1.167,       96,                      98.541,                     29.677,                          1.567
    0.631,         0.085,  0.284,              208.952,                0.193,        0,                       0.000,                      0.000,                          0.000
    0.631,         0.085,  0.284,              208.952,                0.193,        1,                      14.396,                      1.446,                          0.473
    0.631,         0.085,  0.284,              208.952,                0.193,        2,                      19.087,                      2.232,                          0.681
    0.631,         0.085,  0.284,              208.952,                0.193,        4,                      24.948,                      3.357,                          0.959
    0.631,         0.085,  0.284,              208.952,                0.193,        6,                      29.016,                      4.201,                          1.157
    0.631,         0.085,  0.284,              208.952,                0.193,        8,                      32.226,                      4.887,                          1.313
    0.631,         0.085,  0.284,              208.952,                0.193,       12,                      37.254,                      5.977,                          1.552
    0.631,         0.085,  0.284,              208.952,                0.193,       24,                      47.374,                      8.128,                          1.991
    0.631,         0.085,  0.284,              208.952,                0.193,       48,                      59.623,                     10.497,                          2.388
    0.631,         0.085,  0.284,              208.952,                0.193,       72,                      67.795,                     11.890,                          2.538
    0.631,         0.085,  0.284,              208.952,                0.193,       96,                      74.000,                     12.849,                          2.577
    0.640,         0.094,  0.266,               83.005,                0.993,        0,                       0.000,                      0.000,                          0.000
    0.640,         0.094,  0.266,               83.005,                0.993,        1,                      12.994,                      1.826,                          0.271
    0.640,         0.094,  0.266,               83.005,                0.993,        2,                      16.719,                      2.657,                          0.282
    0.640,         0.094,  0.266,               83.005,                0.993,        4,                      21.211,                      3.663,                          0.257
    0.640,         0.094,  0.266,               83.005,                0.993,        6,                      24.215,                      4.300,                          0.226
    0.640,         0.094,  0.266,               83.005,                0.993,        8,                      26.510,                      4.757,                          0.200
    0.640,         0.094,  0.266,               83.005,                0.993,       12,                      29.946,                      5.389,                          0.160
    0.640,         0.094,  0.266,               83.005,                0.993,       24,                      36.177,                      6.376,                          0.096
    0.640,         0.094,  0.266,               83.005,                0.993,       48,                      42.370,                      7.183,                          0.049
    0.640,         0.094,  0.266,               83.005,                0.993,       72,                      45.701,                      7.560,                          0.031
    0.640,         0.094,  0.266,               83.005,                0.993,       96,                      47.848,                      7.786,                          0.021
    0.634,         0.087,  0.279,              104.906,                0.224,        0,                       0.000,                      0.000,                          0.000
    0.634,         0.087,  0.279,              104.906,                0.224,        1,                      10.201,                      0.966,                          0.299
    0.634,         0.087,  0.279,              104.906,                0.224,        2,                      13.479,                      1.498,                          0.417
    0.634,         0.087,  0.279,              104.906,                0.224,        4,                      17.469,                      2.245,                          0.554
    0.634,         0.087,  0.279,              104.906,                0.224,        6,                      20.178,                      2.791,                          0.638
    0.634,         0.087,  0.279,              104.906,                0.224,        8,                      22.285,                      3.225,                          0.695
    0.634,         0.087,  0.279,              104.906,                0.224,       12,                      25.534,                      3.896,                          0.764
    0.634,         0.087,  0.279,              104.906,                0.224,       24,                      31.880,                      5.146,                          0.822
    0.634,         0.087,  0.279,              104.906,                0.224,       48,                      39.180,                      6.412,                          0.749
    0.634,         0.087,  0.279,              104.906,                0.224,       72,                      43.767,                      7.104,                          0.635
    0.634,         0.087,  0.279,              104.906,                0.224,       96,                      47.073,                      7.557,                          0.530
    0.630,         0.131,  0.239,              207.181,                0.383,        0,                       0.000,                      0.000,                          0.000
    0.630,         0.131,  0.239,              207.181,                0.383,        1,                       9.804,                      6.539,                          0.815
    0.630,         0.131,  0.239,              207.181,                0.383,        2,                      12.473,                      9.674,                          1.182
    0.630,         0.131,  0.239,              207.181,                0.383,        4,                      16.053,                     13.383,                          1.683
    0.630,         0.131,  0.239,              207.181,                0.383,        6,                      18.775,                     15.646,                          2.049
    0.630,         0.131,  0.239,              207.181,                0.383,        8,                      21.088,                     17.221,                          2.344
    0.630,         0.131,  0.239,              207.181,                0.383,       12,                      25.030,                     19.326,                          2.805
    0.630,         0.131,  0.239,              207.181,                0.383,       24,                      34.205,                     22.443,                          3.658
