Temperature [°C], Cellulose Fraction, Hemicellulose Fraction, Lignin Fraction, Solids Loading [g/L], Time [min], Cellulose Remaining [g/L], Hemicellulose Remaining [g/L], Cellulose Degraded [%], Hemicellulose Degraded [%]
        181.8760,             0.4361,                 0.2546,          0.3092,             137.7375,          0,                   60.0710,                       35.0733,                 0.0000,                     0.0000
        181.8760,             0.4361,                 0.2546,          0.3092,             137.7375,          5,                   58.1681,                       27.7292,                 3.1678,                    20.9392
        181.8760,             0.4361,                 0.2546,          0.3092,             137.7375,         10,                   56.3254,                       21.9229,                 6.2352,                    37.4940
        181.8760,             0.4361,                 0.2546,          0.3092,             137.7375,         15,                   54.5412,                       17.3324,                 9.2055,                    50.5824
        181.8760,             0.4361,                 0.2546,          0.3092,             137.7375,         20,                   52.8134,                       13.7031,                12.0816,                    60.9302
        181.8760,             0.4361,                 0.2546,          0.3092,             137.7375,         30,                   49.5204,                        8.5651,                17.5635,                    75.5793
        181.8760,             0.4361,                 0.2546,          0.3092,             137.7375,         40,                   46.4327,                        5.3536,                22.7036,                    84.7359
        194.4668,             0.3770,                 0.2608,          0.3622,              64.0282,          0,                   24.1385,                       16.6975,                 0.0000,                     0.0000
        194.4668,             0.3770,                 0.2608,          0.3622,              64.0282,          5,                   22.4980,                       10.0960,                 6.7962,                    39.5359
        194.4668,             0.3770,                 0.2608,          0.3622,              64.0282,         10,                   20.9690,                        6.1044,                13.1306,                    63.4411
        194.4668,             0.3770,                 0.2608,          0.3622,              64.0282,         15,                   19.5439,                        3.6909,                19.0345,                    77.8953
        194.4668,             0.3770,                 0.2608,          0.3622,              64.0282,         20,                   18.2156,                        2.2317,                24.5371,                    86.6348
        194.4668,             0.3770,                 0.2608,          0.3622,              64.0282,         30,                   15.8238,                        0.8158,                34.4459,                    95.1141
        194.4668,             0.3770,                 0.2608,          0.3622,              64.0282,         40,                   13.7460,                        0.2982,                43.0536,                    98.2139
        190.7401,             0.4906,                 0.2509,          0.2585,             104.1959,          0,                   51.1153,                       26.1419,                 0.0000,                     0.0000
        190.7401,             0.4906,                 0.2509,          0.2585,             104.1959,          5,                   48.1830,                       17.1122,                 5.7367,                    34.5411
        190.7401,             0.4906,                 0.2509,          0.2585,             104.1959,         10,                   45.4189,                       11.2014,                11.1442,                    57.1515
        190.7401,             0.4906,                 0.2509,          0.2585,             104.1959,         15,                   42.8133,                        7.3322,                16.2416,                    71.9521
        190.7401,             0.4906,                 0.2509,          0.2585,             104.1959,         20,                   40.3573,                        4.7995,                21.0466,                    81.6404
        190.7401,             0.4906,                 0.2509,          0.2585,             104.1959,         30,                   35.8597,                        2.0565,                29.8454,                    92.1335
        190.7401,             0.4906,                 0.2509,          0.2585,             104.1959,         40,                   31.8634,                        0.8811,                37.6637,                    96.6295
        181.1607,             0.4221,                 0.2844,          0.2935,              78.8762,          0,                   33.2972,                       22.4327,                 0.0000,                     0.0000
        181.1607,             0.4221,                 0.2844,          0.2935,              78.8762,          5,                   32.3125,                       18.0077,                 2.9575,                    19.7255
        181.1607,             0.4221,                 0.2844,          0.2935,              78.8762,         10,                   31.3568,                       14.4556,                 5.8274,                    35.5601
        181.1607,             0.4221,                 0.2844,          0.2935,              78.8762,         15,                   30.4295,                       11.6041,                 8.6126,                    48.2714
        181.1607,             0.4221,                 0.2844,          0.2935,              78.8762,         20,                   29.5295,                        9.3151,                11.3153,                    58.4752
        181.1607,             0.4221,                 0.2844,          0.2935,              78.8762,         30,                   27.8087,                        6.0026,                16.4834,                    73.2418
        181.1607,             0.4221,                 0.2844,          0.2935,              78.8762,         40,                   26.1882,                        3.8680,                21.3503,                    82.7573
        205.1097,             0.3887,                 0.2701,          0.3413,              90.5114,          0,                   35.1795,                       24.4441,                 0.0000,                     0.0000
        205.1097,             0.3887,                 0.2701,          0.3413,              90.5114,          5,                   30.2942,                        9.6908,                13.8867,                    60.3554
        205.1097,             0.3887,                 0.2701,          0.3413,              90.5114,         10,                   26.0873,                        3.8418,                25.8450,                    84.2834
        205.1097,             0.3887,                 0.2701,          0.3413,              90.5114,         15,                   22.4647,                        1.5230,                36.1427,                    93.7695
        205.1097,             0.3887,                 0.2701,          0.3413,              90.5114,         20,                   19.3450,                        0.6037,                45.0104,                    97.5301
        205.1097,             0.3887,                 0.2701,          0.3413,              90.5114,         30,                   14.3452,                        0.0949,                59.2227,                    99.6119
        205.1097,             0.3887,                 0.2701,          0.3413,              90.5114,         40,                   10.6377,                        0.0149,                69.7618,                    99.9390
        204.4098,             0.4517,                 0.2259,          0.3224,             136.8941,          0,                   61.8377,                       30.9205,                 0.0000,                     0.0000
        204.4098,             0.4517,                 0.2259,          0.3224,             136.8941,          5,                   53.5370,                       12.6119,                13.4233,                    59.2119
        204.4098,             0.4517,                 0.2259,          0.3224,             136.8941,         10,                   46.3505,                        5.1440,                25.0449,                    83.3637
        204.4098,             0.4517,                 0.2259,          0.3224,             136.8941,         15,                   40.1287,                        2.0981,                35.1064,                    93.2146
        204.4098,             0.4517,                 0.2259,          0.3224,             136.8941,         20,                   34.7420,                        0.8557,                43.8174,                    97.2326
        204.4098,             0.4517,                 0.2259,          0.3224,             136.8941,         30,                   26.0408,                        0.1423,                57.8884,                    99.5397
        204.4098,             0.4517,                 0.2259,          0.3224,             136.8941,         40,                   19.5188,                        0.0237,                68.4354,                    99.9234
        196.8512,             0.4735,                 0.1942,          0.3323,             121.2032,          0,                   57.3939,                       23.5381,                 0.0000,                     0.0000
        196.8512,             0.4735,                 0.1942,          0.3323,             121.2032,          5,                   52.6542,                       13.0519,                 8.2582,                    44.5500
        196.8512,             0.4735,                 0.1942,          0.3323,             121.2032,         10,                   48.3060,                        7.2372,                15.8344,                    69.2532
        196.8512,             0.4735,                 0.1942,          0.3323,             121.2032,         15,                   44.3168,                        4.0130,                22.7849,                    82.9512
        196.8512,             0.4735,                 0.1942,          0.3323,             121.2032,         20,                   40.6570,                        2.2251,                29.1615,                    90.5467
        196.8512,             0.4735,                 0.1942,          0.3323,             121.2032,         30,                   34.2192,                        0.6841,                40.3784,                    97.0936
        196.8512,             0.4735,                 0.1942,          0.3323,             121.2032,         40,                   28.8007,                        0.2103,                49.8192,                    99.1065
        186.5561,             0.3874,                 0.2818,          0.3308,              52.1753,          0,                   20.2116,                       14.7022,                 0.0000,                     0.0000
        186.5561,             0.3874,                 0.2818,          0.3308,              52.1753,          5,                   19.2955,                       10.5209,                 4.5327,                    28.4401
        186.5561,             0.3874,                 0.2818,          0.3308,              52.1753,         10,                   18.4209,                        7.5287,                 8.8600,                    48.7920
        186.5561,             0.3874,                 0.2818,          0.3308,              52.1753,         15,                   17.5859,                        5.3875,                12.9912,                    63.3559
        186.5561,             0.3874,                 0.2818,          0.3308,              52.1753,         20,                   16.7888,                        3.8552,                16.9351,                    73.7777
        186.5561,             0.3874,                 0.2818,          0.3308,              52.1753,         30,                   15.3013,                        1.9741,                24.2947,                    86.5724
        186.5561,             0.3874,                 0.2818,          0.3308,              52.1753,         40,                   13.9456,                        1.0109,                31.0022,                    93.1242
        182.4237,             0.4674,                 0.1903,          0.3423,             141.8345,          0,                   66.2978,                       26.9868,                 0.0000,                     0.0000
        182.4237,             0.4674,                 0.1903,          0.3423,             141.8345,          5,                   64.0910,                       21.0885,                 3.3285,                    21.8562
        182.4237,             0.4674,                 0.1903,          0.3423,             141.8345,         10,                   61.9577,                       16.4793,                 6.5463,                    38.9356
        182.4237,             0.4674,                 0.1903,          0.3423,             141.8345,         15,                   59.8955,                       12.8775,                 9.6569,                    52.2821
        182.4237,             0.4674,                 0.1903,          0.3423,             141.8345,         20,                   57.9018,                       10.0629,                12.6640,                    62.7116
        182.4237,             0.4674,                 0.1903,          0.3423,             141.8345,         30,                   54.1114,                        6.1448,                18.3813,                    77.2303
        182.4237,             0.4674,                 0.1903,          0.3423,             141.8345,         40,                   50.5691,                        3.7522,                23.7243,                    86.0961
        198.8654,             0.4319,                 0.2232,          0.3449,             118.9789,          0,                   51.3857,                       26.5606,                 0.0000,                     0.0000
        198.8654,             0.4319,                 0.2232,          0.3449,             118.9789,          5,                   46.4198,                       13.5706,                 9.6639,                    48.9070
        198.8654,             0.4319,                 0.2232,          0.3449,             118.9789,         10,                   41.9338,                        6.9336,                18.3940,                    73.8953
        198.8654,             0.4319,                 0.2232,          0.3449,             118.9789,         15,                   37.8813,                        3.5425,                26.2804,                    86.6626
        198.8654,             0.4319,                 0.2232,          0.3449,             118.9789,         20,                   34.2205,                        1.8099,                33.4046,                    93.1858
        198.8654,             0.4319,                 0.2232,          0.3449,             118.9789,         30,                   27.9259,                        0.4724,                45.6543,                    98.2213
        198.8654,             0.4319,                 0.2232,          0.3449,             118.9789,         40,                   22.7892,                        0.1233,                55.6508,                    99.5357
        202.7870,             0.4855,                 0.2471,          0.2673,              84.8185,          0,                   41.1816,                       20.9609,                 0.0000,                     0.0000
        202.7870,             0.4855,                 0.2471,          0.2673,              84.8185,          5,                   36.1000,                        9.1322,                12.3395,                    56.4321
        202.7870,             0.4855,                 0.2471,          0.2673,              84.8185,         10,                   31.6455,                        3.9786,                23.1564,                    81.0187
        202.7870,             0.4855,                 0.2471,          0.2673,              84.8185,         15,                   27.7406,                        1.7334,                32.6385,                    91.7305
        202.7870,             0.4855,                 0.2471,          0.2673,              84.8185,         20,                   24.3175,                        0.7551,                40.9506,                    96.3974
        202.7870,             0.4855,                 0.2471,          0.2673,              84.8185,         30,                   18.6864,                        0.1433,                54.6245,                    99.3163
        202.7870,             0.4855,                 0.2471,          0.2673,              84.8185,         40,                   14.3592,                        0.0272,                65.1320,                    99.8702
        198.1429,             0.4463,                 0.1769,          0.3767,              58.8983,          0,                   26.2883,                       10.4204,                 0.0000,                     0.0000
        198.1429,             0.4463,                 0.1769,          0.3767,              58.8983,          5,                   23.8797,                        5.4827,                 9.1622,                    47.3850
        198.1429,             0.4463,                 0.1769,          0.3767,              58.8983,         10,                   21.6918,                        2.8847,                17.4849,                    72.3169
        198.1429,             0.4463,                 0.1769,          0.3767,              58.8983,         15,                   19.7043,                        1.5177,                25.0452,                    85.4348
        198.1429,             0.4463,                 0.1769,          0.3767,              58.8983,         20,                   17.8990,                        0.7985,                31.9127,                    92.3368
        198.1429,             0.4463,                 0.1769,          0.3767,              58.8983,         30,                   14.7693,                        0.2210,                43.8178,                    97.8788
        198.1429,             0.4463,                 0.1769,          0.3767,              58.8983,         40,                   12.1869,                        0.0612,                53.6414,                    99.4128
        187.8427,             0.3792,                 0.2645,          0.3562,             110.5372,          0,                   41.9190,                       29.2416,                 0.0000,                     0.0000
        187.8427,             0.3792,                 0.2645,          0.3562,             110.5372,          5,                   39.8631,                       20.3596,                 4.9046,                    30.3744
        187.8427,             0.3792,                 0.2645,          0.3562,             110.5372,         10,                   37.9079,                       14.1754,                 9.5686,                    51.5230
        187.8427,             0.3792,                 0.2645,          0.3562,             110.5372,         15,                   36.0487,                        9.8697,                14.0039,                    66.2478
        187.8427,             0.3792,                 0.2645,          0.3562,             110.5372,         20,                   34.2807,                        6.8717,                18.2217,                    76.5001
        187.8427,             0.3792,                 0.2645,          0.3562,             110.5372,         30,                   31.0005,                        3.3311,                26.0468,                    88.6083
        187.8427,             0.3792,                 0.2645,          0.3562,             110.5372,         40,                   28.0341,                        1.6148,                33.1231,                    94.4778
        188.6302,             0.4613,                 0.1690,          0.3697,              53.6325,          0,                   24.7389,                        9.0644,                 0.0000,                     0.0000
        188.6302,             0.4613,                 0.1690,          0.3697,              53.6325,          5,                   23.4694,                        6.2061,                 5.1315,                    31.5325
        188.6302,             0.4613,                 0.1690,          0.3697,              53.6325,         10,                   22.2651,                        4.2492,                 9.9996,                    53.1222
        188.6302,             0.4613,                 0.1690,          0.3697,              53.6325,         15,                   21.1226,                        2.9093,                14.6180,                    67.9042
        188.6302,             0.4613,                 0.1690,          0.3697,              53.6325,         20,                   20.0387,                        1.9919,                18.9993,                    78.0250
        188.6302,             0.4613,                 0.1690,          0.3697,              53.6325,         30,                   18.0349,                        0.9337,                27.0991,                    89.6989
        188.6302,             0.4613,                 0.1690,          0.3697,              53.6325,         40,                   16.2314,                        0.4377,                34.3890,                    95.1713
        197.5862,             0.4994,                 0.1711,          0.3295,              62.3143,          0,                   31.1201,                       10.6605,                 0.0000,                     0.0000
        197.5862,             0.4994,                 0.1711,          0.3295,              62.3143,          5,                   28.3898,                        5.7373,                 8.7737,                    46.1814
        197.5862,             0.4994,                 0.1711,          0.3295,              62.3143,         10,                   25.8989,                        3.0877,                16.7776,                    71.0358
        197.5862,             0.4994,                 0.1711,          0.3295,              62.3143,         15,                   23.6266,                        1.6617,                24.0792,                    84.4122
        197.5862,             0.4994,                 0.1711,          0.3295,              62.3143,         20,                   21.5537,                        0.8943,                30.7403,                    91.6111
        197.5862,             0.4994,                 0.1711,          0.3295,              62.3143,         30,                   17.9375,                        0.2590,                42.3605,                    97.5704
        197.5862,             0.4994,                 0.1711,          0.3295,              62.3143,         40,                   14.9280,                        0.0750,                52.0311,                    99.2964
        188.2101,             0.4385,                 0.2757,          0.2858,             111.7118,          0,                   48.9890,                       30.7986,                 0.0000,                     0.0000
        188.2101,             0.4385,                 0.2757,          0.2858,             111.7118,          5,                   46.5344,                       21.2765,                 5.0105,                    30.9171
        188.2101,             0.4385,                 0.2757,          0.2858,             111.7118,         10,                   44.2028,                       14.6984,                 9.7700,                    52.2758
        188.2101,             0.4385,                 0.2757,          0.2858,             111.7118,         15,                   41.9880,                       10.1540,                14.2909,                    67.0310
        188.2101,             0.4385,                 0.2757,          0.2858,             111.7118,         20,                   39.8842,                        7.0146,                18.5854,                    77.2243
        188.2101,             0.4385,                 0.2757,          0.2858,             111.7118,         30,                   35.9875,                        3.3476,                26.5396,                    89.1308
        188.2101,             0.4385,                 0.2757,          0.2858,             111.7118,         40,                   32.4715,                        1.5975,                33.7167,                    94.8130
        189.8588,             0.4264,                 0.2691,          0.3045,             148.0411,          0,                   63.1245,                       39.8393,                 0.0000,                     0.0000
        189.8588,             0.4264,                 0.2691,          0.3045,             148.0411,          5,                   59.6625,                       26.5725,                 5.4843,                    33.3008
        189.8588,             0.4264,                 0.2691,          0.3045,             148.0411,         10,                   56.3904,                       17.7235,                10.6679,                    55.5124
        189.8588,             0.4264,                 0.2691,          0.3045,             148.0411,         15,                   53.2978,                       11.8214,                15.5672,                    70.3274
        189.8588,             0.4264,                 0.2691,          0.3045,             148.0411,         20,                   50.3747,                        7.8847,                20.1978,                    80.2088
        189.8588,             0.4264,                 0.2691,          0.3045,             148.0411,         30,                   45.0008,                        3.5076,                28.7111,                    91.1957
        189.8588,             0.4264,                 0.2691,          0.3045,             148.0411,         40,                   40.2001,                        1.5604,                36.3162,                    96.0834
        206.4652,             0.4801,                 0.2981,          0.2218,              98.2049,          0,                   47.1489,                       29.2768,                 0.0000,                     0.0000
        206.4652,             0.4801,                 0.2981,          0.2218,              98.2049,          5,                   40.1818,                       10.9848,                14.7769,                    62.4795
        206.4652,             0.4801,                 0.2981,          0.2218,              98.2049,         10,                   34.2441,                        4.1214,                27.3703,                    85.9225
        206.4652,             0.4801,                 0.2981,          0.2218,              98.2049,         15,                   29.1839,                        1.5463,                38.1028,                    94.7183
        206.4652,             0.4801,                 0.2981,          0.2218,              98.2049,         20,                   24.8714,                        0.5801,                47.2494,                    98.0184
        206.4652,             0.4801,                 0.2981,          0.2218,              98.2049,         30,                   18.0639,                        0.0817,                61.6876,                    99.7211
        206.4652,             0.4801,                 0.2981,          0.2218,              98.2049,         40,                   13.1197,                        0.0115,                72.1740,                    99.9607
        185.5230,             0.3588,                 0.2577,          0.3835,             129.9050,          0,                   46.6057,                       33.4821,                 0.0000,                     0.0000
        185.5230,             0.3588,                 0.2577,          0.3835,             129.9050,          5,                   44.6328,                       24.4928,                 4.2331,                    26.8480
        185.5230,             0.3588,                 0.2577,          0.3835,             129.9050,         10,                   42.7435,                       17.9169,                 8.2870,                    46.4880
        185.5230,             0.3588,                 0.2577,          0.3835,             129.9050,         15,                   40.9341,                       13.1065,                12.1693,                    60.8551
        185.5230,             0.3588,                 0.2577,          0.3835,             129.9050,         20,                   39.2013,                        9.5876,                15.8872,                    71.3649
        185.5230,             0.3588,                 0.2577,          0.3835,             129.9050,         30,                   35.9527,                        5.1304,                22.8577,                    84.6771
        185.5230,             0.3588,                 0.2577,          0.3835,             129.9050,         40,                   32.9733,                        2.7453,                29.2505,                    91.8007
        194.2305,             0.4711,                 0.1627,          0.3662,              99.4276,          0,                   46.8371,                       16.1785,                 0.0000,                     0.0000
        194.2305,             0.4711,                 0.1627,          0.3662,              99.4276,          5,                   43.6853,                        9.8315,                 6.7294,                    39.2309
        194.2305,             0.4711,                 0.1627,          0.3662,              99.4276,         10,                   40.7455,                        5.9745,                13.0060,                    63.0713
        194.2305,             0.4711,                 0.1627,          0.3662,              99.4276,         15,                   38.0036,                        3.6306,                18.8602,                    77.5591
        194.2305,             0.4711,                 0.1627,          0.3662,              99.4276,         20,                   35.4461,                        2.2062,                24.3205,                    86.3631
        194.2305,             0.4711,                 0.1627,          0.3662,              99.4276,         30,                   30.8360,                        0.8147,                34.1634,                    94.9643
        194.2305,             0.4711,                 0.1627,          0.3662,              99.4276,         40,                   26.8254,                        0.3008,                42.7262,                    98.1405
        196.5206,             0.4578,                 0.2054,          0.3369,             100.8803,          0,                   46.1795,                       20.7176,                 0.0000,                     0.0000
        196.5206,             0.4578,                 0.2054,          0.3369,             100.8803,          5,                   42.4735,                       11.6432,                 8.0254,                    43.8003
        196.5206,             0.4578,                 0.2054,          0.3369,             100.8803,         10,                   39.0648,                        6.5434,                15.4067,                    68.4162
        196.5206,             0.4578,                 0.2054,          0.3369,             100.8803,         15,                   35.9297,                        3.6773,                22.1957,                    82.2503
        196.5206,             0.4578,                 0.2054,          0.3369,             100.8803,         20,                   33.0462,                        2.0666,                28.4398,                    90.0250
        196.5206,             0.4578,                 0.2054,          0.3369,             100.8803,         30,                   27.9548,                        0.6527,                39.4650,                    96.8497
        196.5206,             0.4578,                 0.2054,          0.3369,             100.8803,         40,                   23.6478,                        0.2061,                48.7915,                    99.0051
        204.1999,             0.3705,                 0.2621,          0.3674,             116.1016,          0,                   43.0127,                       30.4296,                 0.0000,                     0.0000
        204.1999,             0.3705,                 0.2621,          0.3674,             116.1016,          5,                   37.2990,                       12.5179,                13.2839,                    58.8626
        204.1999,             0.3705,                 0.2621,          0.3674,             116.1016,         10,                   32.3442,                        5.1494,                24.8033,                    83.0775
        204.1999,             0.3705,                 0.2621,          0.3674,             116.1016,         15,                   28.0476,                        2.1183,                34.7924,                    93.0388
        204.1999,             0.3705,                 0.2621,          0.3674,             116.1016,         20,                   24.3217,                        0.8713,                43.4546,                    97.1365
        204.1999,             0.3705,                 0.2621,          0.3674,             116.1016,         30,                   18.2891,                        0.1474,                57.4799,                    99.5155
        204.1999,             0.3705,                 0.2621,          0.3674,             116.1016,         40,                   13.7527,                        0.0249,                68.0264,                    99.9180
        192.1907,             0.4157,                 0.2308,          0.3535,              70.6856,          0,                   29.3829,                       16.3127,                 0.0000,                     0.0000
        192.1907,             0.4157,                 0.2308,          0.3535,              70.6856,          5,                   27.5757,                       10.3532,                 6.1505,                    36.5326
        192.1907,             0.4157,                 0.2308,          0.3535,              70.6856,         10,                   25.8796,                        6.5709,                11.9228,                    59.7192
        192.1907,             0.4157,                 0.2308,          0.3535,              70.6856,         15,                   24.2879,                        4.1703,                17.3401,                    74.4351
        192.1907,             0.4157,                 0.2308,          0.3535,              70.6856,         20,                   22.7941,                        2.6468,                22.4241,                    83.7749
        192.1907,             0.4157,                 0.2308,          0.3535,              70.6856,         30,                   20.0763,                        1.0661,                31.6734,                    93.4647
        192.1907,             0.4157,                 0.2308,          0.3535,              70.6856,         40,                   17.6827,                        0.4294,                39.8199,                    97.3677
        182.7192,             0.4872,                 0.2374,          0.2754,             124.5621,          0,                   60.6908,                       29.5717,                 0.0000,                     0.0000
        182.7192,             0.4872,                 0.2374,          0.2754,             124.5621,          5,                   58.6181,                       22.9635,                 3.4151,                    22.3464
        182.7192,             0.4872,                 0.2374,          0.2754,             124.5621,         10,                   56.6163,                       17.8320,                 6.7136,                    39.6993
        182.7192,             0.4872,                 0.2374,          0.2754,             124.5621,         15,                   54.6827,                       13.8471,                 9.8995,                    53.1745
        182.7192,             0.4872,                 0.2374,          0.2754,             124.5621,         20,                   52.8153,                       10.7527,                12.9765,                    63.6385
        182.7192,             0.4872,                 0.2374,          0.2754,             124.5621,         30,                   49.2694,                        6.4839,                18.8190,                    78.0740
        182.7192,             0.4872,                 0.2374,          0.2754,             124.5621,         40,                   45.9616,                        3.9098,                24.2692,                    86.7788
        202.3341,             0.4824,                 0.2153,          0.3023,              75.0639,          0,                   36.2138,                       16.1598,                 0.0000,                     0.0000
        202.3341,             0.4824,                 0.2153,          0.3023,              75.0639,          5,                   31.8556,                        7.1712,                12.0346,                    55.6231
        202.3341,             0.4824,                 0.2153,          0.3023,              75.0639,         10,                   28.0219,                        3.1823,                22.6209,                    80.3072
        202.3341,             0.4824,                 0.2153,          0.3023,              75.0639,         15,                   24.6495,                        1.4122,                31.9332,                    91.2612
        202.3341,             0.4824,                 0.2153,          0.3023,              75.0639,         20,                   21.6830,                        0.6266,                40.1249,                    96.1222
        202.3341,             0.4824,                 0.2153,          0.3023,              75.0639,         30,                   16.7781,                        0.1234,                53.6693,                    99.2365
        202.3341,             0.4824,                 0.2153,          0.3023,              75.0639,         40,                   12.9827,                        0.0243,                64.1499,                    99.8497
        199.6871,             0.4446,                 0.2791,          0.2764,              94.0134,          0,                   41.7950,                       26.2366,                 0.0000,                     0.0000
        199.6871,             0.4446,                 0.2791,          0.2764,              94.0134,          5,                   37.5189,                       12.9649,                10.2313,                    50.5846
        199.6871,             0.4446,                 0.2791,          0.2764,              94.0134,         10,                   33.6802,                        6.4066,                19.4158,                    75.5815
        199.6871,             0.4446,                 0.2791,          0.2764,              94.0134,         15,                   30.2343,                        3.1658,                27.6606,                    87.9338
        199.6871,             0.4446,                 0.2791,          0.2764,              94.0134,         20,                   27.1409,                        1.5643,                35.0619,                    94.0377
        199.6871,             0.4446,                 0.2791,          0.2764,              94.0134,         30,                   21.8712,                        0.3819,                47.6702,                    98.5442
        199.6871,             0.4446,                 0.2791,          0.2764,              94.0134,         40,                   17.6247,                        0.0933,                57.8306,                    99.6446
        184.9235,             0.4560,                 0.2873,          0.2567,              96.3139,          0,                   43.9168,                       27.6728,                 0.0000,                     0.0000
        184.9235,             0.4560,                 0.2873,          0.2567,              96.3139,          5,                   42.1343,                       20.5033,                 4.0588,                    25.9080
        184.9235,             0.4560,                 0.2873,          0.2567,              96.3139,         10,                   40.4241,                       15.1913,                 7.9528,                    45.1039
        184.9235,             0.4560,                 0.2873,          0.2567,              96.3139,         15,                   38.7834,                       11.2555,                11.6888,                    59.3266
        184.9235,             0.4560,                 0.2873,          0.2567,              96.3139,         20,                   37.2093,                        8.3393,                15.2732,                    69.8645
        184.9235,             0.4560,                 0.2873,          0.2567,              96.3139,         30,                   34.2501,                        4.5779,                22.0114,                    83.4571
        184.9235,             0.4560,                 0.2873,          0.2567,              96.3139,         40,                   31.5262,                        2.5130,                28.2138,                    90.9188
        197.7524,             0.4931,                 0.2078,          0.2991,             144.7046,          0,                   71.3514,                       30.0749,                 0.0000,                     0.0000
        197.7524,             0.4931,                 0.2078,          0.2991,             144.7046,          5,                   65.0084,                       16.0770,                 8.8898,                    46.5436
        197.7524,             0.4931,                 0.2078,          0.2991,             144.7046,         10,                   59.2292,                        8.5941,                16.9894,                    71.4244
        197.7524,             0.4931,                 0.2078,          0.2991,             144.7046,         15,                   53.9638,                        4.5940,                24.3689,                    84.7248
        197.7524,             0.4931,                 0.2078,          0.2991,             144.7046,         20,                   49.1665,                        2.4557,                31.0925,                    91.8347
        197.7524,             0.4931,                 0.2078,          0.2991,             144.7046,         30,                   40.8133,                        0.7017,                42.7995,                    97.6669
        197.7524,             0.4931,                 0.2078,          0.2991,             144.7046,         40,                   33.8793,                        0.2005,                52.5177,                    99.3334
        209.5739,             0.4685,                 0.2077,          0.3238,             103.0408,          0,                   48.2742,                       21.4004,                 0.0000,                     0.0000
        209.5739,             0.4685,                 0.2077,          0.3238,             103.0408,          5,                   40.1719,                        7.0769,                16.7840,                    66.9311
        209.5739,             0.4685,                 0.2077,          0.3238,             103.0408,         10,                   33.4294,                        2.3402,                30.7510,                    89.0648
        209.5739,             0.4685,                 0.2077,          0.3238,             103.0408,         15,                   27.8186,                        0.7738,                42.3738,                    96.3841
        209.5739,             0.4685,                 0.2077,          0.3238,             103.0408,         20,                   23.1495,                        0.2559,                52.0459,                    98.8044
        209.5739,             0.4685,                 0.2077,          0.3238,             103.0408,         30,                   16.0307,                        0.0280,                66.7925,                    99.8693
